Timestamp,Volt,Amp,Watt,Watt-Hour
1466083876,5.000,0.700,3.500,0.000
1466083877,5.000,0.702,3.507,0.000
1466083878,5.000,0.700,3.503,0.000
1466083879,5.000,0.702,3.511,0.000
1466083880,5.000,0.702,3.507,0.000
1466083881,5.000,0.702,3.511,0.000
1466083882,5.000,0.702,3.511,0.000
1466083883,5.000,0.702,3.511,0.000
1466083884,5.000,0.702,3.511,0.000
1466083885,5.000,0.703,3.511,0.000
1466083886,5.000,0.702,3.511,0.000
1466083887,5.010,1.482,7.389,0.000
1466083888,5.000,1.659,8.255,0.000
1466083889,5.000,1.674,8.332,0.000
1466083890,5.000,1.687,8.400,0.000
1466083891,5.000,1.689,8.404,0.000
1466083892,5.000,0.886,4.427,0.000
1466083893,5.000,0.867,4.332,0.000
1466083894,5.000,0.858,4.290,0.000
1466083895,5.000,0.852,4.255,0.000
1466083896,5.010,0.848,4.240,0.000
1466083897,5.000,0.848,4.236,0.000
1466083898,5.000,0.710,3.553,0.000
1466083899,5.000,0.707,3.534,0.000
1466083900,5.000,0.705,3.526,0.000
