Timestamp,Volt,Amp,Watt,Watt-Hour
1466084526,5.000,0.707,3.534,0.000
1466084527,5.000,0.707,3.534,0.000
1466084528,5.000,0.705,3.522,0.000
1466084529,5.000,0.706,3.526,0.000
1466084530,5.000,0.704,3.519,0.000
1466084531,5.000,0.703,3.515,0.000
1466084532,5.000,0.703,3.515,0.000
1466084533,5.000,0.703,3.515,0.000
1466084534,5.000,0.704,3.519,0.000
1466084535,5.000,0.703,3.511,0.000
1466084536,5.000,0.702,3.511,0.000
1466084537,5.000,1.864,9.267,0.000
1466084538,5.000,2.421,12.007,0.000
1466084539,5.000,2.579,12.775,0.000
1466084540,5.000,2.464,12.217,0.000
1466084541,5.010,2.281,11.309,0.000
1466084542,5.000,2.205,10.935,0.000
1466084543,5.000,2.183,10.828,0.000
1466084544,5.000,2.185,10.839,0.000
1466084545,5.000,2.217,10.996,0.000
1466084546,5.000,2.214,10.984,0.000
1466084547,5.000,2.195,10.885,0.000
1466084548,5.000,2.133,10.584,0.000
1466084549,5.000,2.206,10.946,0.000
1466084550,5.000,2.087,10.355,0.000
1466084551,5.000,2.211,10.965,0.000
1466084552,5.000,2.130,10.568,0.000
1466084553,5.010,2.178,10.805,0.000
1466084554,5.000,2.170,10.763,0.000
1466084555,5.000,2.185,10.839,0.000
1466084556,5.000,2.185,10.836,0.000
1466084557,5.000,2.152,10.679,0.000
1466084558,5.000,2.213,10.981,0.000
1466084559,5.000,2.111,10.477,0.000
1466084560,5.000,2.162,10.733,0.000
1466084561,5.000,2.252,11.171,0.000
1466084562,5.000,2.038,10.114,0.000
1466084563,5.000,2.000,9.923,0.000
1466084564,5.000,2.110,10.462,0.000
1466084565,5.000,2.165,10.733,0.000
1466084566,5.000,2.091,10.370,0.000
1466084567,5.000,2.156,10.687,0.000
1466084568,5.000,2.056,10.202,0.000
1466084569,5.000,2.141,10.622,0.000
1466084570,5.000,2.160,10.710,0.000
1466084571,5.000,2.004,9.946,0.000
1466084572,5.000,2.094,10.385,0.000
1466084573,5.000,1.974,9.790,0.000
1466084574,5.000,2.251,11.175,0.000
1466084575,5.000,2.160,10.710,0.000
1466084576,5.000,2.142,10.618,0.000
1466084577,5.000,2.146,10.652,0.000
1466084578,5.000,2.097,10.408,0.000
1466084579,5.000,1.985,9.851,0.000
1466084580,5.000,1.959,9.721,0.000
1466084581,5.000,2.025,10.046,0.000
1466084582,5.000,2.049,10.171,0.000
1466084583,5.000,2.057,10.206,0.000
1466084584,5.000,2.073,10.278,0.000
1466084585,5.010,2.021,10.030,0.000
1466084586,5.000,2.178,10.809,0.000
1466084587,5.000,2.046,10.156,0.000
1466084588,5.000,2.080,10.332,0.000
1466084589,5.000,2.186,10.851,0.000
1466084590,5.000,1.993,9.897,0.000
1466084591,5.000,1.961,9.725,0.000
1466084592,5.000,2.093,10.393,0.000
1466084593,5.000,2.078,10.313,0.000
1466084594,5.000,2.177,10.797,0.000
1466084595,5.000,2.205,10.942,0.000
1466084596,5.000,1.934,9.591,0.000
1466084597,5.000,1.953,9.694,0.000
1466084598,5.010,2.088,10.362,0.000
1466084599,5.000,2.133,10.576,0.000
1466084600,5.010,2.093,10.385,0.000
1466084601,5.000,2.113,10.481,0.000
1466084602,5.000,2.179,10.805,0.000
1466084603,5.000,2.147,10.649,0.000
1466084604,5.000,2.123,10.530,0.000
1466084605,5.000,2.204,10.935,0.000
1466084606,5.000,2.153,10.679,0.000
1466084607,5.000,2.164,10.740,0.000
1466084608,5.000,2.189,10.858,0.000
1466084609,5.000,2.019,10.019,0.000
1466084610,5.000,2.255,11.187,0.000
1466084611,5.000,2.069,10.267,0.000
1466084612,5.000,2.008,9.973,0.000
1466084613,5.000,2.059,10.213,0.000
1466084614,5.000,1.940,9.629,0.000
1466084615,5.010,2.047,10.160,0.000
1466084616,5.000,2.081,10.332,0.000
1466084617,5.000,2.147,10.660,0.000
1466084618,5.000,2.109,10.473,0.000
1466084619,5.000,1.949,9.668,0.000
