Timestamp,A7_Volt,A7_Amp,A7_Watt,A15_Volt,A15_Amp,A15_Watt,GPU_Volt,GPU_Amp,GPU_Watt,Mem_Volt,Mem_Amp,Mem_Watt,CPU0_Freq,CPU1_Freq,CPU2_Freq,CPU3_Freq,CPU4_Freq,CPU5_Freq,CPU6_Freq,CPU7_Freq,GPU_Freq,CPU4_Temp,CPU5_Temp,CPU6_Temp,CPU7_Temp,GPU_Temp,CPU0_USG,CPU1_USG,CPU2_USG,CPU3_USG,CPU4_USG,CPU5_USG,CPU6_USG,CPU7_USG,Fan_Speed_%
1466084527,1.237500,0.114253,0.141018,1.285000,0.878444,1.128230,0.992500,0.108528,0.107136,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,64,61,57,0,0,0,0,2,6,0,1,0
1466084528,1.237500,0.114497,0.141018,1.285000,0.874882,1.123090,0.992500,0.107920,0.106144,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,63,61,56,0,0,0,0,0,0,0,0,0
1466084529,1.237500,0.114985,0.141018,1.285000,0.874060,1.123090,0.992500,0.107920,0.106144,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,63,61,56,0,0,0,0,0,0,0,0,0
1466084530,1.237500,0.114497,0.141018,1.285000,0.871046,1.119235,0.992500,0.107464,0.106144,1.216250,0.015743,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,63,61,56,0,0,0,0,0,0,0,0,0
1466084531,1.237500,0.114497,0.141018,1.285000,0.871868,1.119235,0.992500,0.107464,0.106144,1.216250,0.015743,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,63,61,56,0,0,0,0,0,0,0,0,0
1466084532,1.237500,0.115229,0.142255,1.285000,0.868306,1.115380,0.992500,0.107312,0.106144,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,63,61,56,0,0,0,0,0,0,0,0,0
1466084533,1.237500,0.114009,0.141018,1.285000,0.869402,1.116665,0.992500,0.107008,0.106144,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,63,60,56,0,0,0,0,0,0,0,0,0
1466084534,1.237500,0.113521,0.139781,1.285000,0.869676,1.116665,0.992500,0.107008,0.106144,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,63,61,56,0,0,0,0,0,0,0,0,0
1466084535,1.237500,0.114253,0.141018,1.285000,0.868580,1.115380,0.992500,0.107008,0.106144,1.216250,0.016016,0.019456,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,63,60,56,0,1,0,0,0,0,0,0,0
1466084536,1.237500,0.113521,0.139781,1.285000,0.866662,1.112810,0.993750,0.107008,0.106251,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,63,58,64,63,56,0,0,0,0,0,0,0,0,0
1466084537,1.236250,0.134749,0.165624,1.308750,5.185998,6.781980,0.995000,0.111416,0.110445,1.225000,0.136773,0.166600,1400,1400,1400,1400,2000,2000,2000,2000,600,77,71,81,81,62,0,0,0,0,68,56,56,64,0
1466084538,1.236250,0.150243,0.185400,1.307500,4.708416,6.153356,0.993750,0.120688,0.119160,1.216250,0.293748,0.356288,1400,1400,1400,1400,2000,2000,2000,2000,600,84,78,90,90,66,0,0,0,0,100,99,100,98,90
1466084539,1.235000,0.170983,0.209950,1.271250,5.121334,6.508791,0.993750,0.131480,0.130083,1.213750,0.322504,0.390586,1400,1400,1400,1400,2000,2000,2000,2000,600,87,81,93,93,70,0,0,0,0,100,99,100,100,90
1466084540,1.235000,0.167994,0.206245,1.210000,4.277962,5.175170,0.995000,0.138776,0.137310,1.216250,0.322504,0.391552,1400,1400,1400,1400,2000,2000,2000,2000,600,88,82,93,93,71,0,0,0,0,100,100,100,99,90
1466084541,1.235000,0.170495,0.209950,1.228750,4.472228,5.491616,0.993750,0.141664,0.140013,1.213750,0.312494,0.378456,1400,1400,1400,1400,900,900,900,900,600,87,81,93,93,72,0,0,1,0,99,100,100,100,90
1466084542,1.235000,0.169763,0.208715,1.165000,4.430854,5.160950,0.993750,0.144704,0.142992,1.217500,0.310492,0.377270,1400,1400,1400,1400,2000,2000,2000,2000,600,87,81,92,93,73,0,0,0,0,100,100,99,99,90
