Timestamp,Volt,Amp,Watt,Watt-Hour
1466085584,5.000,0.818,4.087,0.000
1466085585,5.000,0.711,3.549,0.000
1466085586,5.000,0.709,3.542,0.000
1466085587,5.000,0.706,3.530,0.000
1466085588,5.000,0.707,3.534,0.000
1466085589,5.000,0.704,3.522,0.000
1466085590,5.000,0.705,3.522,0.000
1466085591,5.000,0.703,3.515,0.000
1466085592,5.000,0.703,3.511,0.000
1466085593,5.000,0.703,3.515,0.000
1466085594,5.000,0.702,3.511,0.000
1466085595,5.010,1.998,9.927,0.000
1466085596,5.000,2.225,11.042,0.000
1466085597,5.000,2.212,10.973,0.000
1466085598,5.000,2.309,11.454,0.000
1466085599,5.000,2.321,11.511,0.000
1466085600,5.000,2.305,11.431,0.000
1466085601,5.000,2.234,11.088,0.000
1466085602,5.000,2.344,11.626,0.000
1466085603,5.000,2.178,10.805,0.000
1466085604,5.000,2.233,11.084,0.000
1466085605,5.000,2.147,10.656,0.000
1466085606,5.000,2.168,10.759,0.000
1466085607,5.000,2.195,10.893,0.000
1466085608,5.000,2.058,10.213,0.000
1466085609,5.000,2.190,10.866,0.000
1466085610,5.010,2.084,10.343,0.000
1466085611,5.000,2.160,10.717,0.000
1466085612,5.000,2.181,10.820,0.000
1466085613,5.000,2.034,10.099,0.000
1466085614,5.000,2.198,10.904,0.000
1466085615,5.000,2.222,11.023,0.000
1466085616,5.000,2.184,10.843,0.000
1466085617,5.000,2.222,11.030,0.000
1466085618,5.000,2.136,10.595,0.000
1466085619,5.000,2.170,10.771,0.000
1466085620,5.000,2.072,10.282,0.000
1466085621,5.000,2.219,11.007,0.000
1466085622,5.000,2.096,10.400,0.000
1466085623,5.010,2.068,10.267,0.000
1466085624,5.000,2.171,10.775,0.000
1466085625,5.000,2.149,10.664,0.000
1466085626,5.000,2.179,10.809,0.000
1466085627,5.000,2.021,10.034,0.000
1466085628,5.010,2.202,10.927,0.000
1466085629,5.000,2.219,11.019,0.000
1466085630,5.000,2.140,10.622,0.000
1466085631,5.000,2.163,10.729,0.000
1466085632,5.010,2.167,10.752,0.000
1466085633,5.000,2.171,10.778,0.000
1466085634,5.000,2.225,11.038,0.000
1466085635,5.000,2.059,10.221,0.000
1466085636,5.000,1.994,9.897,0.000
1466085637,5.000,2.023,10.046,0.000
1466085638,5.000,2.153,10.687,0.000
1466085639,5.000,2.203,10.935,0.000
1466085640,5.000,2.203,10.931,0.000
1466085641,5.000,2.139,10.614,0.000
1466085642,5.000,2.136,10.599,0.000
1466085643,5.000,2.208,10.958,0.000
1466085644,5.000,2.127,10.561,0.000
1466085645,5.000,2.101,10.435,0.000
1466085646,5.000,2.167,10.755,0.000
1466085647,5.000,2.169,10.767,0.000
1466085648,5.000,2.027,10.065,0.000
1466085649,5.000,2.028,10.072,0.000
1466085650,5.000,2.142,10.633,0.000
1466085651,5.000,2.076,10.309,0.000
1466085652,5.000,2.033,10.095,0.000
1466085653,5.000,2.113,10.484,0.000
1466085654,5.000,2.049,10.179,0.000
1466085655,5.000,2.185,10.843,0.000
1466085656,5.000,2.185,10.839,0.000
1466085657,5.000,2.110,10.469,0.000
1466085658,5.000,2.159,10.717,0.000
1466085659,5.000,1.995,9.904,0.000
1466085660,5.000,2.059,10.217,0.000
1466085661,5.000,2.029,10.068,0.000
1466085662,5.000,2.197,10.900,0.000
1466085663,5.000,2.132,10.580,0.000
1466085664,5.000,2.208,10.958,0.000
1466085665,5.000,2.167,10.755,0.000
1466085666,5.000,2.161,10.721,0.000
1466085667,5.000,2.068,10.267,0.000
1466085668,5.000,2.104,10.450,0.000
1466085669,5.000,2.176,10.797,0.000
1466085670,5.000,2.138,10.610,0.000
1466085671,5.000,2.160,10.721,0.000
1466085672,5.000,2.084,10.343,0.000
1466085673,5.000,2.211,10.973,0.000
1466085674,5.000,2.059,10.221,0.000
1466085675,5.000,2.126,10.549,0.000
1466085676,5.000,2.056,10.213,0.000
1466085677,5.000,2.062,10.240,0.000
1466085678,5.000,2.014,9.996,0.000
1466085679,5.000,2.044,10.145,0.000
1466085680,5.000,2.146,10.645,0.000
1466085681,5.000,2.075,10.305,0.000
1466085682,5.000,2.205,10.939,0.000
1466085683,5.000,1.960,9.740,0.000
1466085684,5.000,2.183,10.832,0.000
1466085685,5.000,1.982,9.851,0.000
1466085686,5.010,2.134,10.591,0.000
1466085687,5.000,2.210,10.962,0.000
1466085688,5.000,1.961,9.729,0.000
1466085689,5.000,2.108,10.469,0.000
1466085690,5.000,2.152,10.679,0.000
1466085691,5.000,2.001,9.935,0.000
1466085692,5.000,1.938,9.618,0.000
1466085693,5.000,2.144,10.641,0.000
1466085694,5.000,2.173,10.786,0.000
1466085695,5.000,2.180,10.817,0.000
1466085696,5.000,2.024,10.053,0.000
1466085697,5.010,2.104,10.446,0.000
1466085698,5.000,2.041,10.133,0.000
1466085700,5.000,2.132,10.580,0.000
1466085701,5.000,2.053,10.191,0.000
1466085702,5.000,2.038,10.114,0.000
1466085703,5.000,2.048,10.171,0.000
1466085704,5.000,2.123,10.534,0.000
1466085705,5.000,2.088,10.362,0.000
1466085706,5.000,2.003,9.946,0.000
1466085707,5.000,0.944,4.710,0.000
1466085708,5.010,0.916,4.572,0.000
1466085709,5.000,0.895,4.465,0.000
1466085710,5.000,0.884,4.412,0.000
1466085711,5.000,0.876,4.370,0.000
1466085712,5.000,0.869,4.343,0.000
1466085713,5.000,0.862,4.309,0.000
1466085714,5.000,0.860,4.293,0.000
1466085715,5.000,0.856,4.274,0.000
