Timestamp,Volt,Amp,Watt,Watt-Hour
1466085717,5.010,0.715,3.576,0.000
1466085718,5.000,0.713,3.561,0.000
1466085719,5.000,0.711,3.553,0.000
1466085720,5.000,0.710,3.549,0.000
1466085721,5.000,0.710,3.545,0.000
1466085722,5.000,0.707,3.534,0.000
1466085723,5.000,0.721,3.606,0.000
1466085724,5.010,0.706,3.530,0.000
1466085725,5.010,0.707,3.534,0.000
1466085726,5.000,0.707,3.534,0.000
1466085727,5.000,0.706,3.526,0.000
1466085728,5.000,1.238,6.168,0.000
1466085729,5.000,1.274,6.347,0.000
1466085730,5.000,1.272,6.339,0.000
1466085732,5.000,1.308,6.519,0.000
1466085733,5.000,1.424,7.091,0.000
1466085734,5.000,1.414,7.045,0.000
1466085735,5.000,1.293,6.450,0.000
1466085736,5.000,1.289,6.423,0.000
1466085737,5.000,1.312,6.538,0.000
1466085738,5.000,1.443,7.187,0.000
1466085739,5.000,1.423,7.087,0.000
1466085740,5.000,1.322,6.587,0.000
1466085741,5.000,1.418,7.065,0.000
1466085742,5.000,1.470,7.320,0.000
1466085743,5.000,1.428,7.114,0.000
1466085744,5.000,1.349,6.721,0.000
1466085745,5.000,1.450,7.221,0.000
1466085746,5.000,1.455,7.248,0.000
1466085747,5.000,1.309,6.523,0.000
1466085748,5.000,1.471,7.324,0.000
1466085749,5.000,1.431,7.133,0.000
1466085750,5.000,1.333,6.641,0.000
1466085751,5.000,1.378,6.862,0.000
1466085752,5.000,1.453,7.236,0.000
1466085753,5.000,1.374,6.847,0.000
1466085754,5.000,1.342,6.690,0.000
1466085755,5.000,1.451,7.229,0.000
1466085756,5.000,1.433,7.141,0.000
1466085757,5.000,1.336,6.656,0.000
1466085758,5.000,1.468,7.313,0.000
1466085759,5.000,1.429,7.118,0.000
1466085760,5.000,1.338,6.664,0.000
1466085761,5.000,1.439,7.164,0.000
1466085762,5.000,1.459,7.271,0.000
1466085763,5.000,1.420,7.072,0.000
1466085764,5.000,1.357,6.763,0.000
1466085765,5.000,1.446,7.202,0.000
1466085766,5.000,1.446,7.202,0.000
1466085767,5.000,1.305,6.503,0.000
1466085768,5.000,1.462,7.282,0.000
1466085769,5.000,1.424,7.091,0.000
1466085770,5.000,1.350,6.725,0.000
1466085771,5.000,1.440,7.171,0.000
1466085772,5.010,1.444,7.198,0.000
