Timestamp,A7_Volt,A7_Amp,A7_Watt,A15_Volt,A15_Amp,A15_Watt,GPU_Volt,GPU_Amp,GPU_Watt,Mem_Volt,Mem_Amp,Mem_Watt,CPU0_Freq,CPU1_Freq,CPU2_Freq,CPU3_Freq,CPU4_Freq,CPU5_Freq,CPU6_Freq,CPU7_Freq,GPU_Freq,CPU4_Temp,CPU5_Temp,CPU6_Temp,CPU7_Temp,GPU_Temp,CPU0_USG,CPU1_USG,CPU2_USG,CPU3_USG,CPU4_USG,CPU5_USG,CPU6_USG,CPU7_USG,Fan_Speed_%
1466087134,1.237500,0.113765,0.139781,1.285000,0.860360,1.105100,0.993750,0.105792,0.104265,1.216250,0.015288,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,61,57,62,60,55,3,3,3,3,20,15,6,9,0
1466087135,1.237500,0.112972,0.138544,1.285000,0.858442,1.102530,0.993750,0.105184,0.104265,1.216250,0.015015,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,61,57,62,59,55,0,0,0,0,0,0,0,0,0
1466087136,1.237500,0.111508,0.137307,1.285000,0.857072,1.101245,0.993750,0.105032,0.104265,1.216250,0.015288,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,61,56,62,59,55,0,0,0,0,0,0,0,0,0
1466087137,1.237500,0.111020,0.137307,1.285000,0.854880,1.097390,0.993750,0.104424,0.103272,1.216250,0.015015,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,60,56,62,59,55,0,0,0,0,0,0,0,0,0
1466087138,1.237500,0.111752,0.137307,1.283750,0.852688,1.093116,0.993750,0.104272,0.103272,1.216250,0.015288,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,60,56,61,59,55,0,0,0,0,0,0,0,0,0
1466087139,1.237500,0.110471,0.136070,1.283750,0.851866,1.091833,0.992500,0.103968,0.102176,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,60,56,61,59,54,0,0,0,0,0,0,0,0,0
1466087140,1.237500,0.111752,0.137307,1.283750,0.850770,1.090550,0.993750,0.103968,0.102279,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,60,56,61,59,54,0,0,0,0,0,0,0,0,0
1466087141,1.237500,0.112484,0.138544,1.283750,0.850496,1.090550,0.993750,0.103664,0.102279,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,60,56,61,59,54,0,0,0,0,0,0,0,0,0
1466087142,1.237500,0.111752,0.137307,1.283750,0.850496,1.090550,0.992500,0.103512,0.102176,1.216250,0.015288,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,60,56,61,59,54,0,0,0,0,0,0,0,0,0
1466087143,1.237500,0.111508,0.137307,1.283750,0.849674,1.089267,0.993750,0.103512,0.102279,1.216250,0.015288,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,61,57,63,59,54,0,0,0,0,0,0,0,0,0
1466087144,1.236250,0.132736,0.163152,1.305000,4.472502,5.835960,0.993750,0.108680,0.107244,1.222500,0.229957,0.279838,1400,1400,1400,1400,2000,2000,2000,2000,600,79,72,83,82,61,0,0,0,0,80,78,79,82,70
1466087145,1.235000,0.147986,0.181545,1.306250,4.810070,6.281860,0.993750,0.119472,0.118167,1.218750,0.357266,0.434826,1400,1400,1400,1400,2000,2000,2000,2000,600,83,77,89,88,65,0,0,0,0,100,100,100,99,70
1466087146,1.235000,0.154269,0.190190,1.307500,4.842128,6.328494,0.993750,0.128744,0.127104,1.218750,0.304213,0.370272,1400,1400,1400,1400,2000,2000,2000,2000,600,89,81,94,92,68,0,0,0,0,100,100,100,100,70
1466087147,1.235000,0.162748,0.200070,1.307500,4.901312,6.405607,0.995000,0.134976,0.133330,1.220000,0.345982,0.420900,1400,1400,1400,1400,900,900,900,900,600,89,83,95,96,70,0,0,0,0,100,100,100,100,70
1466087148,1.233750,0.166469,0.204678,1.253750,4.479078,5.612187,0.995000,0.138776,0.137310,1.220000,0.357994,0.435540,1400,1400,1400,1400,2000,2000,2000,2000,600,90,83,95,94,71,0,0,0,0,100,100,100,100,70
1466087149,1.235000,0.167506,0.206245,1.230000,4.288100,5.274240,0.995000,0.140752,0.139300,1.218750,0.350987,0.426300,1400,1400,1400,1400,2000,2000,2000,2000,600,90,83,95,95,72,0,0,0,0,100,100,100,100,70
1466087150,1.235000,0.167018,0.206245,1.240000,4.436882,5.500640,0.993750,0.143488,0.141999,1.221250,0.286468,0.349206,1400,1400,1400,1400,2000,2000,2000,2000,600,89,83,94,94,72,0,0,0,0,100,100,100,100,70
1466087151,1.235000,0.170251,0.209950,1.258750,4.431402,5.574198,0.995000,0.145008,0.144275,1.220000,0.336700,0.409920,1400,1400,1400,1400,2000,2000,2000,2000,600,87,81,92,92,73,0,0,1,0,100,100,100,100,70
1466087152,1.235000,0.170007,0.209950,1.208750,3.798736,4.587984,0.995000,0.145464,0.144275,1.218750,0.348712,0.423864,1400,1400,1400,1400,2000,2000,2000,2000,600,90,83,94,94,73,0,0,0,0,100,100,100,100,70
1466087153,1.235000,0.171471,0.211185,1.187500,3.898746,4.626926,0.995000,0.146224,0.145270,1.220000,0.357721,0.435540,1400,1400,1400,1400,2000,2000,2000,2000,600,90,83,95,94,73,0,0,0,0,100,100,100,100,70
1466087154,1.233750,0.171471,0.210843,1.197500,3.946148,4.723362,0.995000,0.147440,0.146265,1.218750,0.349258,0.425082,1400,1400,1400,1400,900,900,900,900,600,90,83,95,95,73,0,0,0,0,100,100,100,100,90
1466087155,1.233750,0.168726,0.207144,1.207500,3.999304,4.826793,0.995000,0.148048,0.147260,1.220000,0.339248,0.413580,1400,1400,1400,1400,2000,2000,2000,2000,600,90,83,94,94,73,0,0,0,0,100,100,100,100,90
1466087156,1.235000,0.172508,0.212420,1.196250,3.873538,4.632108,0.995000,0.148048,0.147260,1.218750,0.333697,0.405594,1400,1400,1400,1400,900,900,900,900,600,89,83,94,94,73,0,0,0,0,100,100,100,100,90
1466087157,1.235000,0.172508,0.212420,1.242500,4.345092,5.396490,0.995000,0.148504,0.147260,1.216250,0.327964,0.397632,1400,1400,1400,1400,2000,2000,2000,2000,600,90,83,95,94,73,0,0,1,0,100,100,100,100,90
1466087158,1.233750,0.171715,0.210843,1.188750,4.019306,4.774572,0.995000,0.148960,0.147260,1.220000,0.355719,0.433100,1400,1400,1400,1400,900,900,900,900,600,89,83,94,94,74,0,0,0,0,100,100,100,100,90
1466087159,1.235000,0.173484,0.213655,1.203750,4.069996,4.895007,0.995000,0.148656,0.147260,1.218750,0.347438,0.422646,1400,1400,1400,1400,2000,2000,2000,2000,600,90,83,95,94,74,0,0,0,0,100,100,100,100,90
1466087160,1.235000,0.172996,0.212420,1.168750,3.823122,4.465264,0.995000,0.149416,0.148255,1.218750,0.294203,0.358092,1400,1400,1400,1400,2000,2000,2000,2000,600,90,83,94,94,74,0,0,0,0,100,100,100,100,90
1466087161,1.235000,0.173728,0.213655,1.203750,3.962314,4.766286,0.995000,0.149264,0.148255,1.218750,0.338247,0.411684,1400,1400,1400,1400,2000,2000,2000,2000,600,91,84,95,95,74,0,0,0,0,100,100,100,100,90
1466087162,1.235000,0.173728,0.213655,1.180000,3.843124,4.534740,0.995000,0.149264,0.148255,1.218750,0.293475,0.356874,1400,1400,1400,1400,2000,2000,2000,2000,600,91,84,95,95,74,0,0,0,0,100,100,100,100,90
1466087164,1.235000,0.174216,0.214890,1.201250,3.917652,4.704317,0.995000,0.149416,0.148255,1.220000,0.335517,0.408700,1400,1400,1400,1400,900,900,900,900,600,91,84,96,95,74,0,0,0,0,100,100,100,100,90
1466087165,1.235000,0.173240,0.213655,1.206250,3.825588,4.612950,0.995000,0.149720,0.148255,1.217500,0.336245,0.408912,1400,1400,1400,1400,2000,2000,2000,2000,600,90,83,94,93,74,0,0,0,0,100,100,100,100,90
1466087166,1.235000,0.174216,0.214890,1.178750,3.968068,4.674304,0.995000,0.150024,0.149250,1.220000,0.353262,0.430660,1400,1400,1400,1400,2000,2000,2000,2000,600,90,83,95,94,74,0,0,0,0,100,100,100,100,90
1466087167,1.235000,0.177266,0.218595,1.166250,3.929434,4.581214,0.995000,0.150480,0.149250,1.218750,0.345436,0.420210,1400,1400,1400,1400,900,900,900,900,600,90,83,95,95,74,0,0,2,0,100,100,100,97,90
1466087168,1.235000,0.172020,0.212420,1.208750,3.924228,4.740192,0.995000,0.150024,0.149250,1.217500,0.309218,0.376053,1400,1400,1400,1400,900,900,900,900,600,90,83,95,94,74,1,0,0,0,100,100,100,100,90
1466087169,1.235000,0.175985,0.216125,1.168750,3.821478,4.462928,0.995000,0.150176,0.149250,1.218750,0.347256,0.422646,1400,1400,1400,1400,2000,2000,2000,2000,600,90,83,95,94,74,0,0,0,0,100,100,100,100,90
1466087170,1.235000,0.173728,0.213655,1.201250,3.861482,4.637061,0.995000,0.150480,0.149250,1.218750,0.287742,0.349566,1400,1400,1400,1400,2000,2000,2000,2000,600,88,82,92,92,74,0,0,0,1,100,100,100,100,90
1466087171,1.233750,0.174521,0.214542,1.208750,3.735990,4.511880,0.995000,0.150480,0.149250,1.220000,0.350987,0.427000,1400,1400,1400,1400,2000,2000,2000,2000,600,90,83,94,94,74,0,0,0,0,100,100,100,100,90
1466087172,1.235000,0.172996,0.212420,1.205000,3.831068,4.616355,0.995000,0.150784,0.149250,1.218750,0.344981,0.418992,1400,1400,1400,1400,2000,2000,2000,2000,600,89,82,93,92,74,0,0,0,0,100,100,100,100,90
1466087173,1.233750,0.173972,0.213309,1.187500,3.831616,4.547397,0.995000,0.150784,0.149250,1.220000,0.272454,0.331840,1400,1400,1400,1400,2000,2000,2000,2000,600,90,83,94,94,74,0,0,0,0,100,100,100,100,90
1466087174,1.235000,0.172996,0.212420,1.178750,3.951902,4.654278,0.995000,0.150480,0.149250,1.218750,0.349258,0.425082,1400,1400,1400,1400,2000,2000,2000,2000,600,91,84,95,95,74,0,0,0,1,100,100,100,100,90
1466087175,1.235000,0.171471,0.211185,1.175000,3.646666,4.284050,0.995000,0.151240,0.150245,1.217500,0.309764,0.376053,1400,1400,1400,1400,2000,2000,2000,2000,600,90,83,95,94,74,0,0,0,0,100,100,100,100,90
1466087176,1.235000,0.175009,0.216125,1.208750,3.719824,4.492552,0.995000,0.151544,0.150245,1.220000,0.332696,0.405040,1400,1400,1400,1400,900,900,900,900,600,90,84,95,95,74,0,0,0,0,100,100,100,100,90
1466087177,1.235000,0.174521,0.214890,1.195000,3.888060,4.646160,0.995000,0.150936,0.149250,1.217500,0.338520,0.411346,1400,1400,1400,1400,2000,2000,2000,2000,600,91,84,95,95,74,0,0,0,0,100,100,100,100,90
1466087178,1.235000,0.171715,0.211185,1.190000,3.902582,4.643380,0.995000,0.151544,0.150245,1.220000,0.352716,0.429440,1400,1400,1400,1400,900,900,900,900,600,88,82,93,93,74,0,0,0,0,100,100,100,100,90
1466087179,1.233750,0.172020,0.212076,1.195000,3.949710,4.719055,0.995000,0.150936,0.149250,1.218750,0.345709,0.420210,1400,1400,1400,1400,900,900,900,900,600,91,84,96,95,74,0,0,0,0,100,100,100,100,90
1466087180,1.235000,0.175009,0.216125,1.232500,4.036020,4.972352,0.995000,0.151544,0.150245,1.221250,0.285194,0.347985,1400,1400,1400,1400,2000,2000,2000,2000,600,90,83,94,93,74,0,0,0,0,100,100,100,100,90
1466087181,1.235000,0.173484,0.213655,1.196250,3.873538,4.632108,0.995000,0.151544,0.150245,1.220000,0.340249,0.414800,1400,1400,1400,1400,2000,2000,2000,2000,600,91,84,95,95,74,0,0,0,1,100,100,100,100,90
1466087182,1.235000,0.172996,0.212420,1.232500,3.810244,4.693920,0.995000,0.151544,0.150245,1.218750,0.303940,0.369054,1400,1400,1400,1400,2000,2000,2000,2000,600,90,83,94,94,74,0,0,0,0,100,100,100,100,90
1466087183,1.235000,0.176229,0.217360,1.193750,3.711604,4.427223,0.995000,0.151544,0.150245,1.220000,0.350987,0.427000,1400,1400,1400,1400,2000,2000,2000,2000,600,91,84,95,95,74,0,0,0,0,100,100,100,100,90
1466087184,1.235000,0.173728,0.213655,1.181250,4.007250,4.732267,0.995000,0.151544,0.150245,1.217500,0.333515,0.405261,1400,1400,1400,1400,2000,2000,2000,2000,600,91,84,95,95,74,0,0,0,0,100,100,100,100,90
