Timestamp,Volt,Amp,Watt,Watt-Hour
1466088126,5.000,0.836,4.171,0.000
1466088127,5.000,0.835,4.168,0.000
1466088128,5.000,0.713,3.564,0.000
1466088129,5.000,0.715,3.572,0.000
1466088130,5.000,0.711,3.549,0.000
1466088131,5.000,0.728,3.637,0.000
1466088132,5.000,0.708,3.538,0.000
1466088133,5.000,0.707,3.534,0.000
1466088134,5.000,0.707,3.530,0.000
1466088135,5.000,0.738,3.687,0.000
1466088136,5.000,0.706,3.530,0.000
1466088137,5.000,1.142,5.694,0.000
1466088138,5.000,1.667,8.294,0.000
1466088139,5.000,1.679,8.351,0.000
1466088140,5.000,1.686,8.385,0.000
1466088141,5.000,1.734,8.622,0.000
1466088142,5.000,1.123,5.599,0.000
1466088143,5.000,0.900,4.496,0.000
1466088144,5.000,0.865,4.316,0.000
1466088145,5.000,0.881,4.400,0.000
1466088146,5.000,0.851,4.248,0.000
1466088147,5.000,0.877,4.377,0.000
1466088148,5.000,0.713,3.564,0.000
1466088149,5.000,0.738,3.687,0.000
1466088150,5.000,0.709,3.542,0.000
1466088151,5.000,0.724,3.618,0.000
