Timestamp,Volt,Amp,Watt,Watt-Hour
1466088568,5.000,0.684,3.419,0.000
1466088569,5.000,0.716,3.580,0.000
1466088570,5.000,0.683,3.416,0.000
1466088571,5.000,0.708,3.542,0.000
1466088572,5.000,0.683,3.412,0.000
1466088573,5.000,0.698,3.488,0.000
1466088574,5.000,0.682,3.412,0.000
1466088575,5.000,0.697,3.488,0.000
1466088576,5.000,0.683,3.412,0.000
1466088577,5.000,0.703,3.511,0.000
1466088578,5.000,0.683,3.412,0.000
1466088579,5.000,1.497,7.454,0.000
1466088580,5.000,1.529,7.614,0.000
1466088581,5.000,1.756,8.732,0.000
1466088582,5.000,1.764,8.774,0.000
1466088583,5.000,1.542,7.683,0.000
1466088584,5.000,2.073,10.294,0.000
1466088585,5.000,2.128,10.568,0.000
1466088586,5.010,2.127,10.561,0.000
1466088587,5.000,2.160,10.725,0.000
1466088588,5.000,2.160,10.721,0.000
1466088589,5.000,2.162,10.733,0.000
1466088590,5.000,2.185,10.851,0.000
1466088591,5.000,2.225,11.042,0.000
1466088592,5.010,2.054,10.198,0.000
1466088593,5.000,2.212,10.977,0.000
1466088594,5.000,2.045,10.156,0.000
1466088595,5.000,2.078,10.320,0.000
1466088596,5.000,2.213,10.984,0.000
1466088597,5.000,2.066,10.259,0.000
1466088598,5.000,2.042,10.137,0.000
1466088599,5.000,2.045,10.156,0.000
1466088600,5.000,2.053,10.202,0.000
1466088601,5.000,2.204,10.939,0.000
1466088602,5.000,2.191,10.878,0.000
1466088603,5.000,2.046,10.160,0.000
1466088604,5.000,2.047,10.171,0.000
1466088605,5.000,2.059,10.221,0.000
1466088606,5.010,2.073,10.294,0.000
1466088607,5.000,2.052,10.187,0.000
1466088608,5.000,2.060,10.229,0.000
1466088609,5.000,2.042,10.141,0.000
1466088610,5.000,2.048,10.171,0.000
1466088611,5.000,2.068,10.267,0.000
1466088612,5.000,2.051,10.183,0.000
1466088613,5.000,2.079,10.324,0.000
1466088614,5.000,2.026,10.065,0.000
1466088615,5.000,2.070,10.275,0.000
1466088616,5.000,2.042,10.137,0.000
1466088617,5.000,2.046,10.156,0.000
