Timestamp,A7_Volt,A7_Amp,A7_Watt,A15_Volt,A15_Amp,A15_Watt,GPU_Volt,GPU_Amp,GPU_Watt,Mem_Volt,Mem_Amp,Mem_Watt,CPU0_Freq,CPU1_Freq,CPU2_Freq,CPU3_Freq,CPU4_Freq,CPU5_Freq,CPU6_Freq,CPU7_Freq,GPU_Freq,CPU4_Temp,CPU5_Temp,CPU6_Temp,CPU7_Temp,GPU_Temp,CPU0_USG,CPU1_USG,CPU2_USG,CPU3_USG,CPU4_USG,CPU5_USG,CPU6_USG,CPU7_USG,Fan_Speed_%
1466088967,1.237500,0.116510,0.143492,1.285000,0.888856,1.141080,0.993750,0.111264,0.110223,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,63,59,65,62,57,6,6,6,6,26,22,16,16,0
1466088968,1.237500,0.116998,0.143492,1.285000,0.896254,1.151360,0.993750,0.110808,0.109230,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,63,59,64,62,57,0,0,0,0,0,0,0,0,0
1466088969,1.237500,0.116022,0.143492,1.285000,0.883650,1.134655,0.993750,0.110048,0.109230,1.216250,0.015288,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,63,59,64,62,57,0,0,0,0,0,0,0,0,0
1466088970,1.237500,0.115717,0.142255,1.285000,0.882280,1.133370,0.993750,0.109744,0.108237,1.216250,0.015743,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,63,58,64,61,57,0,1,0,0,0,0,0,0,0
1466088971,1.237500,0.116266,0.143492,1.285000,0.880088,1.130800,0.993750,0.109440,0.108237,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,63,58,64,61,57,0,0,0,0,0,0,0,0,0
1466088972,1.237500,0.114985,0.141018,1.285000,0.877896,1.126945,0.993750,0.108984,0.107244,1.216250,0.015743,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,64,61,57,0,0,0,0,0,0,0,0,0
1466088973,1.237500,0.114497,0.141018,1.285000,0.877074,1.126945,0.993750,0.108680,0.107244,1.216250,0.015743,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,63,61,56,0,0,0,0,0,0,0,0,0
1466088974,1.237500,0.115229,0.142255,1.285000,0.875704,1.124375,0.993750,0.108528,0.107244,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,63,61,56,0,1,0,0,0,0,0,0,0
1466088975,1.237500,0.114009,0.141018,1.285000,0.874608,1.123090,0.993750,0.108528,0.107244,1.216250,0.015743,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,63,61,56,0,0,0,0,0,0,0,0,0
1466088976,1.237500,0.114497,0.141018,1.285000,0.874334,1.123090,0.993750,0.107920,0.106251,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,67,61,67,64,56,0,1,0,0,2,2,1,1,0
1466088977,1.213750,0.718702,0.870934,1.307500,4.899120,6.402993,0.995000,0.113696,0.112435,1.223750,0.159250,0.194457,1400,1400,1400,1400,2000,2000,2000,2000,600,87,77,90,88,65,56,59,55,52,71,80,77,71,0
1466088978,1.235000,0.158478,0.195130,1.238750,5.040230,6.239520,0.995000,0.130416,0.129350,1.222500,0.171444,0.208962,1400,1400,1400,1400,2000,2000,2000,2000,600,88,81,93,92,69,56,57,58,58,100,99,100,100,90
1466088979,1.226250,0.267729,0.327342,1.238750,4.705676,5.824790,0.995000,0.134520,0.133330,1.211250,0.307762,0.371777,1400,1400,1400,1400,2000,2000,2000,2000,600,90,82,94,94,71,31,25,20,14,79,83,78,75,90
1466088980,1.226250,0.270718,0.331020,1.205000,4.557442,5.491185,0.995000,0.141208,0.140295,1.213750,0.311766,0.377243,1400,1400,1400,1400,2000,2000,2000,2000,600,88,81,92,93,72,29,31,35,23,93,96,96,93,90
1466088981,1.221250,0.282003,0.344322,1.171250,4.297964,5.031787,0.995000,0.144704,0.143280,1.213750,0.303758,0.367539,1400,1400,1400,1400,2000,2000,2000,2000,600,90,83,95,94,73,27,40,29,29,93,95,96,97,90
1466088982,1.223750,0.277733,0.338771,1.137500,3.966972,4.509342,0.995000,0.147440,0.146265,1.211250,0.286741,0.346346,1400,1400,1400,1400,2000,2000,2000,2000,600,89,82,93,93,73,31,37,34,31,94,95,94,96,90
1466088983,1.225000,0.280966,0.343000,1.163750,4.045062,4.704335,0.995000,0.149264,0.148255,1.212500,0.299208,0.362388,1400,1400,1400,1400,900,900,900,900,600,88,82,93,93,74,43,33,25,21,96,96,95,96,90
1466088984,1.223750,0.290726,0.354670,1.183750,4.223984,4.995809,0.995000,0.149720,0.148255,1.213750,0.303212,0.367539,1400,1400,1400,1400,2000,2000,2000,2000,600,90,83,94,93,74,34,28,34,29,95,94,94,96,90
1466088985,1.222500,0.276208,0.337272,1.138750,3.659544,4.163942,0.995000,0.150784,0.149250,1.215000,0.297206,0.360855,1400,1400,1400,1400,2000,2000,2000,2000,600,90,83,94,94,74,36,33,30,27,98,98,96,95,90
1466088986,1.221250,0.288713,0.351648,1.195000,4.193296,5.010635,0.995000,0.151240,0.150245,1.213750,0.298753,0.361474,1400,1400,1400,1400,2000,2000,2000,2000,600,90,82,94,92,74,40,25,46,23,94,91,93,91,90
1466088987,1.222500,0.279990,0.340938,1.146250,4.065064,4.658490,0.995000,0.151696,0.150245,1.215000,0.298207,0.362070,1400,1400,1400,1400,2000,2000,2000,2000,600,92,84,95,95,74,37,39,27,20,95,96,97,96,90
1466088988,1.223750,0.261995,0.319203,1.163750,3.981220,4.629903,0.995000,0.152304,0.151240,1.215000,0.292474,0.354780,1400,1400,1400,1400,2000,2000,2000,2000,600,88,82,92,92,75,27,44,22,31,93,94,92,95,90
1466088989,1.222500,0.263764,0.321386,1.166250,4.068900,4.743288,0.995000,0.152760,0.151240,1.213750,0.285740,0.345705,1400,1400,1400,1400,2000,2000,2000,2000,600,90,83,94,93,74,36,32,28,27,93,93,93,92,90
1466088990,1.222500,0.272731,0.332384,1.120000,4.047254,4.532640,0.995000,0.153216,0.152235,1.216250,0.296478,0.359936,1400,1400,1400,1400,2000,2000,2000,2000,600,90,83,94,93,75,35,43,30,32,94,95,97,96,90
1466088991,1.223750,0.253516,0.309419,1.103750,3.779556,4.168237,0.995000,0.152912,0.151240,1.213750,0.291200,0.352983,1400,1400,1400,1400,900,900,900,900,600,90,83,95,95,75,34,37,21,34,94,91,97,92,90
1466088992,1.222500,0.280478,0.342160,1.136250,3.774624,4.287264,0.995000,0.152760,0.151240,1.213750,0.303212,0.367539,1400,1400,1400,1400,2000,2000,2000,2000,600,90,82,94,93,75,35,43,30,22,96,93,98,97,90
1466088993,1.222500,0.296704,0.361712,1.178750,4.202612,4.949956,0.995000,0.153216,0.152235,1.216250,0.310219,0.376960,1400,1400,1400,1400,2000,2000,2000,2000,600,91,83,95,94,75,34,36,37,26,96,94,95,98,90
1466088994,1.223750,0.297253,0.363231,1.146250,3.862578,4.425852,0.995000,0.153520,0.152235,1.215000,0.292201,0.354780,1400,1400,1400,1400,900,900,900,900,600,89,82,93,93,75,31,40,35,32,96,94,97,98,90
1466088995,1.226250,0.270962,0.331020,1.152500,3.812162,4.391424,0.995000,0.153520,0.152235,1.216250,0.291018,0.353856,1400,1400,1400,1400,900,900,900,900,600,90,84,95,95,75,30,33,34,30,95,95,93,95,90
1466088996,1.222500,0.289750,0.353158,1.123750,3.644748,4.092212,0.995000,0.153672,0.152235,1.213750,0.304213,0.368752,1400,1400,1400,1400,2000,2000,2000,2000,600,89,83,93,93,75,38,40,24,35,94,96,93,97,90
1466088997,1.222500,0.268766,0.327496,1.101250,3.916008,4.311516,0.995000,0.153976,0.152235,1.216250,0.310219,0.376960,1400,1400,1400,1400,2000,2000,2000,2000,600,91,84,95,94,75,37,40,28,25,96,96,93,96,90
1466088998,1.225000,0.272975,0.333200,1.161250,3.718454,4.316598,0.995000,0.153216,0.152235,1.216250,0.290472,0.352640,1400,1400,1400,1400,2000,2000,2000,2000,600,90,83,94,93,75,31,34,28,29,95,97,98,97,90
1466088999,1.222500,0.275232,0.336050,1.126250,3.558438,4.006308,0.995000,0.154280,0.153230,1.212500,0.292201,0.353904,1400,1400,1400,1400,900,900,900,900,600,90,83,94,94,75,22,38,41,31,95,95,95,94,90
1466089000,1.226250,0.277001,0.339602,1.131250,3.839014,4.341909,0.995000,0.153976,0.152235,1.213750,0.283192,0.343279,1400,1400,1400,1400,900,900,900,900,600,92,84,96,96,75,25,39,36,30,95,94,98,96,90
1466089001,1.222500,0.260470,0.317720,1.097500,3.655434,4.009535,0.995000,0.153976,0.152235,1.215000,0.305487,0.370575,1400,1400,1400,1400,900,900,900,900,600,89,83,93,93,75,28,32,37,34,95,96,97,95,90
1466089002,1.225000,0.271511,0.331975,1.138750,3.841480,4.371058,0.995000,0.154280,0.153230,1.213750,0.293020,0.355409,1400,1400,1400,1400,2000,2000,2000,2000,600,91,84,95,94,75,34,33,32,24,96,96,99,98,90
1466089003,1.225000,0.270718,0.330750,1.115000,3.880388,4.326200,0.995000,0.154280,0.153230,1.216250,0.302757,0.367232,1400,1400,1400,1400,900,900,900,900,600,89,83,93,93,75,36,45,31,24,93,92,94,95,90
1466089004,1.226250,0.274988,0.335924,1.161250,3.920392,4.551120,0.995000,0.154280,0.153230,1.216250,0.302484,0.367232,1400,1400,1400,1400,2000,2000,2000,2000,600,88,82,93,92,75,41,34,33,24,95,96,96,94,90
1466089005,1.223750,0.273707,0.333879,1.131250,3.655434,4.133805,0.995000,0.154736,0.153230,1.217500,0.311948,0.378487,1400,1400,1400,1400,900,900,900,900,600,89,83,93,93,75,34,39,27,23,96,94,95,95,90
1466089006,1.220000,0.288957,0.351360,1.133750,3.636802,4.119588,0.995000,0.154280,0.153230,1.212500,0.309764,0.374508,1400,1400,1400,1400,2000,2000,2000,2000,600,91,84,95,94,75,15,44,45,35,94,87,98,95,90
1466089007,1.221250,0.270474,0.329670,1.106250,3.738456,4.134228,0.995000,0.154432,0.153230,1.216250,0.285012,0.346560,1400,1400,1400,1400,900,900,900,900,600,88,82,93,93,75,33,36,26,28,94,90,96,95,90
1466089008,1.223750,0.283955,0.346109,1.106250,3.711878,4.104366,0.995000,0.154280,0.153230,1.215000,0.286741,0.347490,1400,1400,1400,1400,2000,2000,2000,2000,600,90,83,94,93,75,40,32,28,25,96,97,100,98,90
1466089009,1.223750,0.259006,0.316757,1.115000,3.665298,4.086475,0.995000,0.154280,0.153230,1.215000,0.300937,0.364500,1400,1400,1400,1400,2000,2000,2000,2000,600,91,84,95,94,75,29,31,27,31,95,95,96,97,90
1466089010,1.226250,0.258762,0.316308,1.115000,3.889430,4.336235,0.995000,0.153976,0.152235,1.213750,0.293748,0.355409,1400,1400,1400,1400,2000,2000,2000,2000,600,89,82,93,93,75,30,37,32,29,98,97,98,99,90
1466089011,1.221250,0.279502,0.340659,1.121250,4.171376,4.675691,0.995000,0.154280,0.153230,1.217500,0.294476,0.357798,1400,1400,1400,1400,2000,2000,2000,2000,600,89,82,93,92,75,35,35,24,29,98,94,97,98,90
1466089012,1.223750,0.271999,0.331433,1.115000,3.928612,4.379720,0.995000,0.154736,0.153230,1.217500,0.294749,0.357798,1400,1400,1400,1400,2000,2000,2000,2000,600,89,82,93,92,75,32,30,32,25,95,98,96,95,90
1466089013,1.223750,0.270962,0.330210,1.140000,3.836548,4.373040,0.995000,0.154280,0.153230,1.215000,0.298025,0.362070,1400,1400,1400,1400,2000,2000,2000,2000,600,91,84,94,94,75,34,36,36,30,95,96,99,98,90
1466089014,1.225000,0.252723,0.308700,1.140000,3.932722,4.482480,0.995000,0.153976,0.152235,1.213750,0.267267,0.323871,1400,1400,1400,1400,2000,2000,2000,2000,600,90,83,94,94,75,36,32,34,29,96,96,98,96,90
1466089015,1.225000,0.278221,0.340550,1.132500,3.838192,4.344616,0.995000,0.154736,0.153230,1.211250,0.295477,0.357245,1400,1400,1400,1400,900,900,900,900,600,89,83,94,94,75,29,41,32,28,95,95,96,95,90
1466089016,1.223750,0.274988,0.335102,1.150000,3.811614,4.382650,0.995000,0.155040,0.154225,1.215000,0.299481,0.363285,1400,1400,1400,1400,900,900,900,900,600,89,83,94,93,75,33,36,23,35,97,96,96,93,90
1466089017,1.223750,0.271206,0.331433,1.116250,3.467744,3.869172,0.995000,0.154736,0.153230,1.212500,0.287742,0.347844,1400,1400,1400,1400,900,900,900,900,600,89,83,93,93,75,44,35,28,32,95,93,95,97,90
1466089018,1.225000,0.268217,0.328300,1.121250,3.631048,4.070351,0.995000,0.154432,0.153230,1.215000,0.287469,0.348705,1400,1400,1400,1400,900,900,900,900,600,90,83,94,94,75,32,34,26,30,97,96,99,96,90
1466089019,1.223750,0.265472,0.324095,1.167500,3.925324,4.580475,0.995000,0.154736,0.153230,1.217500,0.286013,0.348062,1400,1400,1400,1400,2000,2000,2000,2000,600,91,84,94,94,75,40,37,26,27,95,96,94,97,90
1466089020,1.223750,0.282979,0.344886,1.161250,3.994098,4.637034,0.995000,0.154736,0.153230,1.215000,0.295204,0.358425,1400,1400,1400,1400,2000,2000,2000,2000,600,92,84,95,94,75,41,24,48,24,95,94,93,94,90
1466089021,1.222500,0.270718,0.329940,1.161250,4.326460,5.022486,0.995000,0.154736,0.153230,1.212500,0.304486,0.368448,1400,1400,1400,1400,2000,2000,2000,2000,600,91,84,94,94,75,43,46,22,31,94,92,91,93,90
