Timestamp,Volt,Amp,Watt,Watt-Hour
1466089473,5.000,0.700,3.500,0.000
1466089474,5.000,0.702,3.507,0.000
1466089475,5.000,0.698,3.488,0.000
1466089476,5.000,0.697,3.484,0.000
1466089477,5.000,0.696,3.477,0.000
1466089478,5.000,0.697,3.484,0.000
1466089479,5.000,0.696,3.480,0.000
1466089480,5.000,0.695,3.473,0.000
1466089481,5.000,0.696,3.480,0.000
1466089482,5.000,0.696,3.480,0.000
1466089483,5.000,0.695,3.477,0.000
1466089484,5.000,2.280,11.317,0.000
1466089485,5.000,2.522,12.507,0.000
1466089486,5.000,2.612,12.943,0.000
1466089487,5.000,2.433,12.057,0.000
1466089488,5.000,2.209,10.962,0.000
1466089489,5.000,2.259,11.206,0.000
1466089490,5.000,2.201,10.923,0.000
1466089491,5.000,2.222,11.023,0.000
1466089492,5.010,2.351,11.671,0.000
1466089493,5.010,2.194,10.878,0.000
1466089494,5.000,2.270,11.263,0.000
1466089495,5.000,2.222,11.019,0.000
1466089496,5.000,2.023,10.034,0.000
1466089497,5.000,2.219,11.011,0.000
1466089498,5.000,2.208,10.950,0.000
1466089499,5.000,2.129,10.565,0.000
1466089500,5.000,2.205,10.935,0.000
1466089501,5.000,2.125,10.549,0.000
1466089502,5.010,2.039,10.118,0.000
1466089503,5.000,2.163,10.729,0.000
1466089504,5.000,2.213,10.981,0.000
1466089505,5.000,2.035,10.095,0.000
1466089506,5.000,2.120,10.526,0.000
1466089507,5.000,2.247,11.149,0.000
1466089508,5.010,2.271,11.267,0.000
1466089509,5.010,2.251,11.160,0.000
1466089510,5.000,2.047,10.152,0.000
1466089511,5.000,2.128,10.557,0.000
1466089512,5.000,2.177,10.801,0.000
1466089513,5.000,2.056,10.206,0.000
1466089514,5.000,2.104,10.439,0.000
1466089515,5.000,2.212,10.969,0.000
1466089516,5.000,2.085,10.347,0.000
1466089517,5.000,2.222,11.030,0.000
1466089518,5.000,2.229,11.061,0.000
1466089519,5.000,2.095,10.397,0.000
1466089520,5.000,2.091,10.366,0.000
1466089521,5.000,2.167,10.748,0.000
1466089522,5.010,2.249,11.156,0.000
1466089523,5.000,2.134,10.587,0.000
1466089524,5.000,2.030,10.072,0.000
1466089525,5.000,2.066,10.255,0.000
1466089526,5.000,2.020,10.030,0.000
1466089527,5.000,2.019,10.023,0.000
1466089528,5.000,2.096,10.404,0.000
1466089529,5.000,2.149,10.660,0.000
1466089530,5.000,2.254,11.179,0.000
1466089531,5.000,2.238,11.099,0.000
1466089532,5.000,2.117,10.504,0.000
1466089533,5.000,1.985,9.847,0.000
1466089534,5.000,2.205,10.942,0.000
1466089535,5.000,2.030,10.072,0.000
1466089536,5.000,2.171,10.775,0.000
1466089537,5.000,2.182,10.828,0.000
1466089538,5.010,2.116,10.496,0.000
1466089539,5.000,2.197,10.904,0.000
1466089540,5.000,2.100,10.427,0.000
1466089541,5.000,2.083,10.336,0.000
1466089542,5.000,2.203,10.923,0.000
1466089543,5.010,2.073,10.286,0.000
1466089544,5.010,2.013,9.988,0.000
1466089545,5.000,2.062,10.233,0.000
1466089546,5.000,2.170,10.763,0.000
1466089547,5.000,2.182,10.824,0.000
1466089548,5.000,2.078,10.313,0.000
1466089549,5.000,2.104,10.442,0.000
1466089550,5.000,2.197,10.904,0.000
1466089551,5.000,1.974,9.790,0.000
1466089552,5.000,2.057,10.206,0.000
1466089553,5.000,2.147,10.656,0.000
1466089554,5.000,2.212,10.969,0.000
1466089555,5.010,2.014,9.992,0.000
1466089556,5.000,2.068,10.263,0.000
1466089557,5.000,2.114,10.484,0.000
1466089558,5.000,2.192,10.874,0.000
1466089559,5.000,2.048,10.164,0.000
1466089560,5.000,2.045,10.145,0.000
1466089561,5.000,2.213,10.977,0.000
1466089562,5.000,2.172,10.778,0.000
1466089563,5.000,2.162,10.725,0.000
1466089564,5.000,2.115,10.488,0.000
1466089565,5.000,0.950,4.736,0.000
1466089566,5.000,0.917,4.576,0.000
1466089567,5.000,0.893,4.458,0.000
1466089568,5.000,0.880,4.389,0.000
1466089569,5.000,0.871,4.351,0.000
1466089570,5.000,0.865,4.320,0.000
1466089571,5.000,0.860,4.293,0.000
1466089572,5.000,0.855,4.271,0.000
1466089573,5.000,0.852,4.255,0.000
1466089574,5.000,0.714,3.568,0.000
