Timestamp,Volt,Amp,Watt,Watt-Hour
1466091436,5.010,0.835,4.171,0.000
1466091437,5.000,0.834,4.164,0.000
1466091438,5.000,0.833,4.160,0.000
1466091439,5.000,0.711,3.553,0.000
1466091440,5.000,0.709,3.545,0.000
1466091441,5.000,0.708,3.538,0.000
1466091442,5.000,0.707,3.534,0.000
1466091443,5.000,0.706,3.534,0.000
1466091444,5.000,0.706,3.526,0.000
1466091445,5.000,0.706,3.526,0.000
1466091446,5.000,0.704,3.519,0.000
1466091447,5.000,2.346,11.637,0.000
1466091448,5.000,2.103,10.450,0.000
1466091449,5.000,2.413,11.962,0.000
1466091450,5.000,2.363,11.717,0.000
1466091451,5.000,2.364,11.725,0.000
1466091452,5.000,2.232,11.072,0.000
1466091453,5.000,2.170,10.767,0.000
1466091454,5.000,2.212,10.969,0.000
1466091455,5.000,2.234,11.088,0.000
1466091456,5.000,2.224,11.042,0.000
1466091457,5.000,2.021,10.030,0.000
1466091458,5.000,2.140,10.622,0.000
1466091459,5.000,2.161,10.725,0.000
1466091460,5.000,2.200,10.916,0.000
1466091461,5.010,2.180,10.813,0.000
1466091462,5.000,2.038,10.118,0.000
1466091463,5.000,2.130,10.572,0.000
1466091464,5.000,2.046,10.156,0.000
1466091465,5.000,2.228,11.049,0.000
1466091466,5.010,2.018,10.015,0.000
1466091467,5.000,1.990,9.878,0.000
1466091468,5.000,1.977,9.820,0.000
1466091469,5.000,2.155,10.691,0.000
1466091470,5.000,2.066,10.252,0.000
1466091471,5.010,2.160,10.717,0.000
1466091472,5.000,2.110,10.473,0.000
1466091473,5.000,2.109,10.462,0.000
1466091474,5.000,2.046,10.160,0.000
1466091475,5.000,2.184,10.832,0.000
1466091476,5.000,2.083,10.339,0.000
1466091477,5.000,2.166,10.748,0.000
1466091478,5.000,2.084,10.343,0.000
1466091479,5.000,2.079,10.320,0.000
1466091480,5.000,2.156,10.702,0.000
1466091481,5.000,2.199,10.920,0.000
1466091482,5.000,2.198,10.908,0.000
1466091483,5.000,2.188,10.858,0.000
1466091484,5.000,2.110,10.469,0.000
1466091485,5.000,2.077,10.305,0.000
1466091486,5.000,1.893,9.397,0.000
1466091487,5.000,2.078,10.316,0.000
1466091488,5.000,2.037,10.118,0.000
1466091489,5.000,2.123,10.534,0.000
1466091490,5.000,2.043,10.141,0.000
1466091491,5.000,1.905,9.458,0.000
1466091492,5.000,2.122,10.530,0.000
1466091493,5.000,2.151,10.679,0.000
1466091494,5.000,2.056,10.210,0.000
1466091495,5.000,2.183,10.832,0.000
1466091496,5.000,2.026,10.057,0.000
1466091497,5.000,2.077,10.309,0.000
1466091498,5.000,1.939,9.622,0.000
1466091499,5.000,2.104,10.439,0.000
1466091500,5.000,2.028,10.061,0.000
1466091501,5.000,2.045,10.152,0.000
1466091502,5.000,2.099,10.423,0.000
1466091503,5.000,2.017,10.011,0.000
1466091504,5.000,2.162,10.733,0.000
1466091505,5.000,2.162,10.729,0.000
1466091506,5.000,2.006,9.954,0.000
1466091507,5.000,2.107,10.454,0.000
1466091508,5.000,2.095,10.400,0.000
1466091509,5.010,2.116,10.500,0.000
1466091510,5.000,2.061,10.225,0.000
1466091511,5.000,1.995,9.904,0.000
1466091512,5.000,2.181,10.820,0.000
1466091513,5.000,2.220,11.019,0.000
